USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
khoahung          1556   0.0  0.0  4356404   1940   ??  Ss    2:11PM   0:00.01 /Applications/Xcode.app/Contents/SharedFrameworks/DVTFoundation.framework/Versions/A/XPCServices/com.apple.dt.Xcode.DeveloperSystemPolicyService.xpc/Contents/MacOS/com.apple.dt.Xcode.DeveloperSystemPolicyService
khoahung          1555   0.0  1.4  6523644 238516   ??  S     2:11PM   0:10.66 /Applications/Xcode.app/Contents/MacOS/Xcode
root              1340   0.0  0.0  4354720   2012   ??  Ss    2:03PM   0:00.01 /usr/libexec/applessdstatistics
khoahung          1329   0.0  0.3  4942444  52580   ??  Ss    2:02PM   0:00.47 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
khoahung          1328   0.0  0.3  4908100  45104   ??  Ss    2:02PM   0:01.13 /System/Library/CoreServices/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
khoahung          1327   0.0  0.2  4937892  30556   ??  Ss    2:02PM   0:00.79 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
khoahung          1325   0.0  0.0  4376392   6312   ??  S     2:02PM   0:00.10 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
khoahung          1050   0.0  0.1  4432876   8820   ??  S     1:51PM   0:00.13 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
khoahung          1047   0.0  0.1  4435088  12496   ??  S     1:51PM   0:00.21 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
khoahung          1039   0.0  0.2  4444684  31980   ??  S     1:51PM   0:00.82 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
khoahung          1037   0.0  0.2  4434656  40276   ??  S     1:51PM   0:00.28 /System/iOSSupport/System/Library/PrivateFrameworks/AvatarUI.framework/Support/avatarsd
khoahung          1029   0.0  0.0  4430492   5372   ??  S     1:51PM   0:00.10 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
khoahung          1028   0.0  0.1  4433384  12496   ??  S     1:51PM   0:00.19 cloudphotod
khoahung          1017   0.0  0.1  5094368  14808   ??  S     1:51PM   0:00.21 /System/Library/CoreServices/LocationMenu.app/Contents/MacOS/LocationMenu
khoahung          1015   0.0  0.0  4402968   6336   ??  S     1:51PM   0:00.05 /System/Library/CoreServices/ScopedBookmarkAgent
khoahung          1011   0.0  0.1  4429744  10080   ??  S     1:51PM   0:00.16 /System/Library/CoreServices/mapspushd
_fpsd             1005   0.0  0.0  4354752   2092   ??  Ss    1:51PM   0:00.08 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
khoahung           997   0.0  0.0  4367500   4212   ??  Ss    1:50PM   0:00.03 /System/Library/PrivateFrameworks/FMClient.framework/Versions/A/XPCServices/FMIPClientXPCService.xpc/Contents/MacOS/FMIPClientXPCService
khoahung           995   0.0  0.1  4430288   9716   ??  S     1:50PM   0:00.07 /usr/libexec/siriknowledged
khoahung           991   0.0  0.1  4391596   9092   ??  S     1:50PM   0:00.08 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
khoahung           984   0.0  0.4  4467856  63068   ??  S     1:50PM   0:12.39 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
root               975   0.0  0.0  4374696   3740   ??  Ss    1:50PM   0:00.06 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedTaskService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedTaskService
_installcoordinationd   974   0.0  0.0  4375300   4940   ??  Ss    1:50PM   0:00.05 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
khoahung           970   0.0  0.1  4441548  17920   ??  S     1:50PM   0:00.57 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
khoahung           957   0.0  0.0  4366920   3172   ??  Ss    1:50PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root               897   0.0  0.0  4367008   3064   ??  Ss    1:47PM   0:00.08 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root               896   0.0  0.0  4374804   4828   ??  Ss    1:47PM   0:00.03 /System/Library/CoreServices/SubmitDiagInfo server-init
khoahung           895   0.0  0.0  4392340   3592   ??  S     1:47PM   0:00.02 /usr/libexec/spindump_agent
root               894   0.0  0.0  4429832   8320   ??  Ss    1:47PM   0:00.16 /usr/sbin/spindump
root               885   0.0  0.0  4356748   1608   ??  Ss    1:47PM   0:00.01 /usr/libexec/online-authd
_spotlight         871   0.0  0.0  4383636   2840   ??  S     1:46PM   0:00.06 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
